,bh,ts,frequency,Thermal_freq,T_depth,Re,Im,Asympt_Re,Asympt_Im,Amplitude,Phase,V3asympt_Re,V3asympt_Im,V3_Re,V3_Im
0,2e-07,0.00038,0.3,0.6,6936.702708163994,0.16166737544517673,-0.011160714263155569,0.16166759804582398,-0.011160714285665563,0.16205215773374573,-3.9491509024656843,0.00020450951152817254,-1.4118303571342139e-05,0.00020450922993831,-1.411830354292043e-05
1,2e-07,0.00038,1000.3,2000.6,120.12919724707037,0.10403035556464602,-0.01116066568010865,0.1040305730102773,-0.011160714285665563,0.10462731640089941,-6.123429412948015,0.0001315986748586795,-1.4118303571342139e-05,0.0001315983997898229,-1.4118242085303656e-05
2,2e-07,0.00038,2000.3,4000.6,84.95053961035468,0.09910652445978485,-0.011160621637486656,0.09910673675130965,-0.011160714285665563,0.0997329567686196,-6.42514510214888,0.00012537002199053404,-1.4118303571342139e-05,0.00012536975344090706,-1.41181863714257e-05
3,2e-07,0.00038,3000.3,6000.6,69.36355899039054,0.096226001958712,-0.011160579311649599,0.09622620909703983,-0.011160714285665563,0.09687105854465762,-6.615776169576174,0.00012172615450811719,-1.4118303571342139e-05,0.00012172589247771981,-1.4118132829255003e-05
4,2e-07,0.00038,4000.3,8000.6,60.07135500412675,0.09418216580434091,-0.011160538100853046,0.09418236778765277,-0.011160714285665563,0.09484111959624948,-6.758005664633712,0.00011914069525165161,-1.4118303571342139e-05,0.00011914043974226018,-1.411808069762266e-05
5,2e-07,0.00038,5000.3,10000.6,53.72985626111195,0.09259681327785074,-0.01116049771883354,0.09259701010614663,-0.011160714285665563,0.0932669638112485,-6.872587567648837,0.00011713521778400349,-1.4118303571342139e-05,0.0001171349687965062,-1.4118029614373917e-05
6,2e-07,0.00038,6000.3,12000.6,49.04866903877985,0.09130147086307261,-0.011160457997561934,0.09130166253817151,-0.011160714285665563,0.09198105459505763,-6.969115778411278,0.00011549660311072074,-1.4118303571342139e-05,0.00011549636064156488,-1.4117979366901068e-05
7,2e-07,0.00038,7000.3,14000.6,45.41040583539584,0.09020626593246561,-0.011160418825625129,0.09020645245345804,-0.011160714285665563,0.0908940336979079,-7.0528570091714196,0.00011411116235393592,-1.4118303571342139e-05,0.00011411092640489784,-1.4117929814427832e-05
8,2e-07,0.00038,8000.3,16000.6,42.47765888232259,0.08925755105883582,-0.011160380124238145,0.08925773242572177,-0.011160714285665563,0.08995256808775798,-7.127030171047681,0.00011291103151833681,-1.4118303571342139e-05,0.0001129108020894165,-1.411788085714516e-05
9,2e-07,0.00038,9000.3,18000.6,40.04840429062623,0.08842072187326266,-0.01116034183417014,0.08842089808604214,-0.011160714285665563,0.08912226033049464,-7.193753824759386,0.00011185243607858553,-1.4118303571342139e-05,0.000111852213169783,-1.4117832420224019e-05
10,2e-07,0.00038,10000.3,20000.6,37.99331558422637,0.08767215040370502,-0.011160303909036884,0.08767232146237802,-0.011160714285665563,0.08837962627068707,-7.2545002562107515,0.00011090548664949296,-1.4118303571342139e-05,0.00011090527026080821,-1.4117784444933612e-05
11,2e-07,0.00038,11000.3,22000.6,36.22525444758742,0.08699498358419078,-0.01116026631279965,0.0869951494887573,-0.011160714285665563,0.08770791704857189,-7.310336214809446,0.00011004886410326264,-1.4118303571342139e-05,0.0001100486542338075,-1.4117736885643772e-05
12,2e-07,0.00038,12000.3,24000.6,34.683080005029495,0.0863767776199893,-0.011160229015331424,0.08637693837044935,-0.011160714285665563,0.08709476691328726,-7.362060594251087,0.00010926682703882307,-1.4118303571342139e-05,0.0001092666236894857,-1.4117689704384873e-05
13,2e-07,0.00038,13000.3,26000.6,33.322457456915906,0.08580808248370886,-0.011160191991621105,0.08580823807915294,-0.011160714285665563,0.08653078587907519,-7.410287978648757,0.0001085474211697246,-1.4118303571342139e-05,0.00010854722434228137,-1.4117642869404534e-05
14,2e-07,0.00038,14000.3,28000.6,32.110349929204105,0.08528155247040559,-0.011160155220409251,0.0852817029117432,-0.011160714285665563,0.08600867547115515,-7.4555018097279655,0.00010788135418327016,-1.4118303571342139e-05,0.00010788116387505653,-1.411759635383536e-05
15,2e-07,0.00038,15000.3,30000.6,31.021567376200455,0.08479136435653345,-0.011160118683847031,0.08479150964467408,-0.011160714285665563,0.08552265032443437,-7.498089573816915,0.00010726125970084155,-1.4118303571342139e-05,0.00010726107591096934,-1.41175501350288e-05
16,2e-07,0.00038,16000.3,32000.6,30.03652222777573,0.08433282372061512,-0.01116008236624566,0.08433296385373978,-0.011160714285665563,0.08506804685135579,-7.538366867183724,0.00010668119927537134,-1.4118303571342139e-05,0.00010668102200650509,-1.4117504193333907e-05
17,2e-07,0.00038,17000.3,34000.6,29.139722839128407,0.08390209080698696,-0.011160046253849032,0.08390222578691464,-0.011160714285665563,0.0846410507625109,-7.576594321983984,0.00010613631562073067,-1.4118303571342139e-05,0.00010613614487109402,-1.4117458511098135e-05
18,2e-07,0.00038,18000.3,36000.6,28.31873423217134,0.08349598488530319,-0.01116001033426528,0.08349611471203389,-0.011160714285665563,0.08423850261382095,-7.612989798234699,0.00010562258511104261,-1.4118303571342139e-05,0.00010562242087974738,-1.4117413072889384e-05
19,2e-07,0.00038,19000.3,38000.6,27.563443959634228,0.08311184156264062,-0.011159974597489963,0.08311196623344586,-0.011160714285665563,0.0838577559975637,-7.647737356034159,0.00010513663728506373,-1.4118303571342139e-05,0.00010513647957655081,-1.4117367865829067e-05
20,2e-07,0.00038,20000.3,40000.6,26.86553257557231,0.082747406728231,-0.011159939033404953,0.08274752624674875,-0.011160714285665563,0.08349657214207677,-7.680993976900633,0.00010467562070193281,-1.4118303571342139e-05,0.00010467546951087314,-1.411732287726064e-05
21,2e-07,0.00038,21000.3,42000.6,26.218084563765057,0.08240075643152522,-0.01115990363337005,0.0824008707959365,-0.011160714285665563,0.08315304029049826,-7.712894683721779,0.00010423710155649246,-1.4118303571342139e-05,0.00010423695688555057,-1.4117278096192898e-05
22,2e-07,0.00038,22000.3,44000.6,25.61529771568668,0.08207023537579516,-0.011159868389768235,0.08207034458609996,-0.011160714285665563,0.08282551658235841,-7.743556500102888,0.00010381898590150485,-1.4118303571342139e-05,0.00010381884775068073,-1.411723351307792e-05
23,2e-07,0.00038,23000.3,46000.6,25.052262809950737,0.08175440912782506,-0.011159833295096178,0.08175451318493288,-0.011160714285665563,0.08251257656289078,-7.773081547326366,0.00010341945917868856,-1.4118303571342139e-05,0.00010341932754709404,-1.4117189118256768e-05
24,2e-07,0.00038,24000.3,48000.6,24.524794340603613,0.0814520264912062,-0.011159798343442162,0.08145212539329805,-0.011160714285665563,0.08221297779915292,-7.80155950079,0.00010303693862212526,-1.4118303571342139e-05,0.0001030368135115367,-1.4117144904401968e-05
25,2e-07,0.00038,25000.3,50000.6,24.029298879720574,0.08116198956213339,-0.011159763528326039,0.08116208331193775,-0.011160714285665563,0.08192563012713393,-7.829069556353162,0.00010267003538988462,-1.4118303571342139e-05,0.00010266991679586113,-1.4117100863297871e-05
26,2e-07,0.00038,26000.3,52000.6,23.562671569330444,0.08088332967599854,-0.011159728844518213,0.08088341827078693,-0.011160714285665563,0.08164957175229198,-7.855682020408927,0.00010231752411282713,-1.4118303571342139e-05,0.0001023174120398096,-1.4117056988283139e-05
27,2e-07,0.00038,27000.3,54000.6,23.12221390415956,0.08061518787690147,-0.011159694287016464,0.08061527131849289,-0.011160714285665563,0.0813839498487671,-7.881459608442907,0.00010197831821745496,-1.4118303571342139e-05,0.0001019782126645552,-1.41170132730295e-05
28,2e-07,0.00038,28000.3,56000.6,22.705567815902995,0.08035679895965586,-0.011159659851159631,0.0803568772480503,-0.011160714285665563,0.08112800470263999,-7.90645851193746,0.00010165144971896467,-1.4118303571342139e-05,0.00010165135068440634,-1.4116969711763794e-05
29,2e-07,0.00038,29000.3,58000.6,22.31066237191835,0.08010747830030596,-0.011159625532172868,0.08010755143550341,-0.011160714285665563,0.08088105663052149,-7.930729283655772,0.00010133605256612555,-1.4118303571342139e-05,0.00010133596004990864,-1.411692629815775e-05
30,2e-07,0.00038,30000.3,60000.6,21.935670331179036,0.07986661092672875,-0.011159591326759255,0.07986667890600074,-0.011160714285665563,0.08064249512222632,-7.954317577555513,0.00010103134881589426,-1.4118303571342139e-05,0.00010103126282245967,-1.4116883028325589e-05
